Name,Latitude,Longitude,Navigate
"Al-Mreesh Mosque
",31.4659209,35.0108508,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.4659209%2C35.0108508
"مسجد الحسين
",31.5366957,35.0999289,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.5366957%2C35.0999289
"Al Omari Mosque
",31.6071793,35.0365596,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.6071793%2C35.0365596
"مسجد ابو عبيدة
",31.5026817,35.0598443,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.5026817%2C35.0598443
"Al Ma'ajeen
",32.232306,35.2432448,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.232306%2C35.2432448
"Osama Bin Zaid
",32.1058542,35.285811,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.1058542%2C35.285811
"Al Shohada'
",32.2218351,35.2458669,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.2218351%2C35.2458669
"Omer Ebn Elkhatab Mosque
",31.5097019,34.9476267,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.5097019%2C34.9476267
"Hawwarah
",32.1577699,35.2598374,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.1577699%2C35.2598374
"Awarta
",32.1617204,35.2871075,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.1617204%2C35.2871075
"Al Ess Mosque
",31.5837717,35.1437811,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.5837717%2C35.1437811
"Al Okhwa Mosque
",31.5135654,35.0821112,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.5135654%2C35.0821112
"Al Salam Mosque
",32.2258375,35.2550346,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.2258375%2C35.2550346
"Mosque
",31.4108393,34.984561,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.4108393%2C34.984561
"Salah Al Dien
",32.214484,35.2563045,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.214484%2C35.2563045
"Al Farouq
",32.0715664,35.2434169,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.0715664%2C35.2434169
"Khalid Bin Al Walid
",32.1005729,35.2892228,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.1005729%2C35.2892228
"Al Shohada'
",32.1991541,35.2163872,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.1991541%2C35.2163872
"Belal Bin Rabah
",32.1390366,35.2524644,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.1390366%2C35.2524644
"Al Noor
",32.2170621,35.2400199,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.2170621%2C35.2400199
"Al-Sadeq Al-Ameen Mosque
",31.4587958,35.1177386,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.4587958%2C35.1177386
"مسجد سعد بن ابي وقاس
",32.2131406,35.2589398,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.2131406%2C35.2589398
"Tal Mosque
",32.2005736,35.2119008,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.2005736%2C35.2119008
"Alkholafa' Alrashideen Mosque
",31.458524,35.1230055,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.458524%2C35.1230055
"Salah Al-Din Mosque
",31.467433,35.0085957,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.467433%2C35.0085957
"Zain Al Abiden
",32.2269485,35.220582,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.2269485%2C35.220582
"Abdo Mosque
",31.466348,35.0150004,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.466348%2C35.0150004
"Al Haj Amen
",32.2103344,35.2806235,https://www.waze.com/live-map/directions?navigate=yes&to=ll.32.2103344%2C35.2806235
"مسجد عالية
",31.5296993,35.1003598,https://www.waze.com/live-map/directions?navigate=yes&to=ll.31.5296993%2C35.1003598
