X,Y,osm_id,code,fclass,name
35.0714603,32.2242061,"432392587","3301",muslim_sunni,Kufr Zibad Mosque
35.0502729,32.2825542,"432392700","3301",muslim_sunni,Abu Ghalib Al Jalad
35.0436796,32.3234037,"432393530","3301",muslim_sunni,New Mosque
35.1198364,32.3092933,"432395513","3301",muslim_sunni,Al Noor
35.0704818,32.407604,"432395752","3301",muslim_sunni,Khalid Bin Al Waled Mosque
35.0172396,32.2964565,"432397632","3301",muslim_sunni,Mosque
35.0371491,32.304862,"432398606","3301",muslim_sunni,Abu Bakir Al Sidik
35.019599,32.3000321,"432400084","3301",muslim_sunni,Artah Big Mosque
35.1110731,32.2619544,"432400225","3301",muslim_sunni,مسجد سفارين القديم
35.0777815,32.3537699,"432401486","3301",muslim_sunni,Omar Bin Al Khatab Al Kadem
35.1531193,32.2892087,"432401775","3301",muslim_sunni,Al Nasir Mosque
35.0480163,32.3856738,"432402056","3301",muslim_sunni,Al Tarekah Al Khalawatiah Mosque
35.0508446,32.2932334,"432406034","3301",muslim_sunni,Kafa Mosque
35.0960835,32.4080533,"432406742","3301",muslim_sunni,Al Wosta Mosque
35.084535,32.4324324,"432409841","3301",muslim_sunni,Al Khader Mosque
35.1259264,32.3166362,"432410650","3301",muslim_sunni,Kufr Ruman Mosque
35.0644709,32.244259,"432412115","3301",muslim_sunni,Kufr Soor Mosque
35.0694923,32.4103949,"432413125","3301",muslim_sunni,Baqa Al Sharkiah Mosque
35.0411849,32.2953392,"432415440","3301",muslim_sunni,Mosque
35.0552107,32.4157724,"432416034","3301",muslim_sunni,مسجد نزلة عيسى
35.0495611,32.3471018,"432416047","3301",muslim_sunni,Jreshah Mosque
35.0366835,32.3081093,"432416413","3301",muslim_sunni,Abu Al Rub
35.0318949,32.2981405,"432416907","3301",muslim_sunni,Ahbab Allah Mosque
35.1144223,32.3067046,"432417555","3301",muslim_sunni,Al Iman
35.0525814,32.3449768,"432417803","3301",muslim_sunni,Al Shohada'
35.1171059,32.3073592,"432418484","3301",muslim_sunni,Old Mosque
35.0834838,32.2745974,"432418556","3301",muslim_sunni,Al Morabiten Mosque
35.0481725,32.3844621,"432419230","3301",muslim_sunni,Cemetery
35.0233189,32.3093886,"432419434","3301",muslim_sunni,Municipality Mosque
35.1055923,32.3696181,"432419595","3301",muslim_sunni,Izz Al Din Al Qassam
35.1016208,32.3287489,"432421144","3301",muslim_sunni,Omar Bin Al Khatab
35.0206393,32.2853833,"432421780","3301",muslim_sunni,Al Abrar Mosque
35.084424,32.4347331,"432422293","3301",muslim_sunni,Abu Bakir Al Sidik Mosque
35.063694,32.2535668,"432422451","3301",muslim_sunni,Al Ras Mosque
35.0229136,32.2860666,"432422678","3301",muslim_sunni,Faroun Mosque
35.0396638,32.3140066,"432423904","3301",muslim_sunni,Khalid Bin Al Walid
35.1177426,32.3836812,"432424711","3301",muslim_sunni,Al Tarekah Al Khalawatiyah
35.098457,32.2351896,"432529929","3301",muslim_sunni,Kur New Mosque
35.1220034,32.3854503,"432530539","3301",muslim_sunni,Dar Al Quran Al Karem
35.083596,32.4025426,"432530984","3301",muslim_sunni,Al Gharbiah Mosque
35.035573,32.3331169,"432531538","3301",muslim_sunni,Shwaikah
35.0447992,32.3140941,"432532911","3301",muslim_sunni,Mosque
35.1285287,32.2590525,"432535691","3301",muslim_sunni,Abd Al Aziz Al Sani' Mosque
35.0344123,32.2886411,"432536118","3301",muslim_sunni,Faroun New Mosque
35.0193512,32.3172129,"432536164","3301",muslim_sunni,Al Morabiten
35.0711097,32.3714018,"432536542","3301",muslim_sunni,Old Mosque
35.1121862,32.3300105,"432537037","3301",muslim_sunni,Al Khadir
35.080109,32.3535293,"432538831","3301",muslim_sunni,Al Abrar Mosque
35.0419708,32.3133094,"432539209","3301",muslim_sunni,Zinabah Al Kadem
35.0612633,32.2513148,"432539690","3301",muslim_sunni,New Mosque
35.0562662,32.4143707,"432541775","3301",muslim_sunni,مسجد صلاح الدين
35.2885271,32.4624614,"432544017","3301",muslim_sunni,Mosque
35.2889107,32.4626426,"432544019","3301",muslim_sunni,Mosque
35.2855972,32.4602986,"432544020","3301",muslim_sunni,Mosque
35.2904129,32.4597127,"432544021","3301",muslim_sunni,Mosque
35.3844893,32.3872638,"432544225","3300",muslim,Al Balad Mosque
35.3787226,32.3899604,"432544230","3300",muslim,Al Farhaneh Mosque
35.3684224,32.3897155,"432544247","3300",muslim,Abu Baker Mosque
35.3410453,32.4014415,"432544249","3300",muslim,"Telfit;Telfit Mosque"
35.3848673,32.4211599,"432544266","3300",muslim,Al Mughayyir Ben Sho'aib Mosque
35.4075125,32.4204615,"432544803","3300",muslim,Al Mutilla Mosque
35.3405877,32.3728444,"432544809","3300",muslim,Kufeir Mosque
35.3630001,32.4266646,"432544813","3300",muslim,Al Shaheed Yasser Arafat Mosque
35.3637895,32.4562479,"432544818","3301",muslim_sunni,Mosque
35.3583961,32.457006,"432544820","3301",muslim_sunni,Deir Abu Da'if Mosque
35.3680154,32.4542957,"432544825","3301",muslim_sunni,Mosque
35.4005132,32.4891966,"432544828","3301",muslim_sunni,Osama Bin Zaied Mosque
35.3986483,32.491238,"432544839","3301",muslim_sunni,Mosque
35.3985708,32.4914952,"432544840","3301",muslim_sunni,Al Forkan Mosque
35.4020642,32.4906444,"432544844","3301",muslim_sunni,Abu Baker Mosque
35.3928566,32.4941847,"432544845","3301",muslim_sunni,Omar Bin Alkhatab Mosque
35.2759014,32.3919495,"432544867","3300",muslim,Al Tarem Mosque
35.2787836,32.4027684,"432544875","3301",muslim_sunni,Alzahra' Mosque
35.2759484,32.4051949,"432544877","3300",muslim,Shouhada` Alhak Mosque
35.2803825,32.4097227,"432544883","3301",muslim_sunni,Old Mosque
35.2850144,32.4095081,"432544892","3300",muslim,Salah Aldeen Mosque
35.2752472,32.4071475,"432544912","3301",muslim_sunni,Alnoor Mosque
35.236808,32.397945,"432544924","3300",muslim,Tora Mosque
35.2498017,32.3961608,"432544928","3300",muslim,Ebad al Rahman Mosque
35.2377018,32.3972156,"432544930","3300",muslim,Mirka New Mosque
35.2323946,32.3758613,"432544936","3300",muslim,Al Zawiya Mosque
35.3139749,32.5087215,"432544945","3301",muslim_sunni,مسجد الجلمة
35.3222283,32.4993702,"432544961","3300",muslim,مسجد صحابة الرسول
35.3503115,32.4961719,"432544971","3300",muslim,Deir Ghazala Mosque
35.3642587,32.5119536,"432544980","3300",muslim,Arabbuna Mosque
35.2261569,32.4850265,"432544999","3301",muslim_sunni,Ez aldeen Al Qasam Mosque
35.2251452,32.4848518,"432545000","3301",muslim_sunni,Ez-Al-Din Al Qasam Mosque
35.2303712,32.4915955,"432545003","3301",muslim_sunni,Alaqsa Mosque
35.2275107,32.4880568,"432545004","3301",muslim_sunni,Moa's Bin Jabal Mosque
35.2614426,32.456077,"432545010","3300",muslim,Borken Big Mosque
35.2619555,32.4554465,"432545015","3301",muslim_sunni,Omar Bin Al Khatab Mosque
35.2600613,32.4575973,"432545019","3106",christian_orthodox,Borken Churche
35.2605153,32.4566565,"432545027","3301",muslim_sunni,Mosque
35.2601121,32.456315,"432545032","3100",christian,The Latenet Churche
35.2765917,32.429804,"432545043","3300",muslim,'Shuhada New Mosque
35.2703828,32.4135475,"432545050","3300",muslim,Omar Ben Alkhatab Mosque
35.324284,32.384799,"432545053","3301",muslim_sunni,
35.3245212,32.3871394,"432545064","3102",christian_catholic,Jawarjious Church
35.2035477,32.4443843,"432545080","3300",muslim,Abad Al Rahman Mosque
35.2989211,32.4648467,"432545118","3301",muslim_sunni,Al-Noor Mosque
35.3010592,32.4584507,"432545151","3301",muslim_sunni,مسجد ال اسعد
35.3127093,32.4581158,"432545156","3301",muslim_sunni,Khaled Mosque
35.3180126,32.4635799,"432545159","3301",muslim_sunni,Alzobair Bin Alawam Mosque
35.2970913,32.4570226,"432545161","3301",muslim_sunni,Abu Baker Mosque
35.2979281,32.4888286,"432545204","3301",muslim_sunni,Altahera Khadeja Mosque
35.3024593,32.4726015,"432545207","3301",muslim_sunni,Ibad Alahman Mosque
35.3024176,32.4836982,"432545209","3301",muslim_sunni,Mohammad Al Fateh Mosque
